id,groups,sub_categories,categories,person,keyword,count,total_event,period_1_plus,period_1_minus,period_1_total,period_2_plus,period_2_minus,period_2_total,period_1_plus_percentage,period_1_minus_percentage,period_2_plus_percentage,period_2_minus_percentage
167,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,จิรายุ ห่วงทรัพย์,จิรายุ,7,7,3,-2,5,0,-2,2,60.0,40.0,0.0,100.0
268,พรรคการเมือง,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคพลังท้องถิ่นไท,พลังท้องถิ่นไท,7,7,0,0,0,4,-3,7,0.0,0.0,57.14285714285714,42.857142857142854
44,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,สันติ พร้อมพัฒน์,สันติ,6,6,0,0,0,5,-1,6,0.0,0.0,83.33333333333334,16.666666666666664
110,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,สันติ พร้อมพัฒน์,สันติ,6,6,0,0,0,5,-1,6,0.0,0.0,83.33333333333334,16.666666666666664
71,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,นฤมล ภิญโญสินวัฒน์,นฤมล,6,6,0,0,0,6,0,6,0.0,0.0,100.0,0.0
108,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,นฤมล ภิญโญสินวัฒน์,นฤมล,6,6,0,0,0,6,0,6,0.0,0.0,100.0,0.0
76,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,กนกวรรณ วิลาวัลย์,กนกวรรณ,6,6,0,0,0,2,-4,6,0.0,0.0,33.33333333333333,66.66666666666666
119,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,กนกวรรณ วิลาวัลย์,กนกวรรณ,6,6,0,0,0,2,-4,6,0.0,0.0,33.33333333333333,66.66666666666666
181,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,นิโรธ สุนทรเลขา,นิโรธ,6,6,0,0,0,5,-1,6,0.0,0.0,83.33333333333334,16.666666666666664
183,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรพิมล ธรรมสาร,พรพิมล,6,6,0,0,0,6,0,6,0.0,0.0,100.0,0.0
281,พรรคการเมือง,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคกล้า,กล้า,6,6,0,-2,2,4,0,4,0.0,100.0,100.0,0.0
88,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,วิโรจน์ ลักขณาอดิศร,วิโรจน์,5,5,0,0,0,2,-3,5,0.0,0.0,40.0,60.0
157,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,วิโรจน์ ลักขณาอดิศร,วิโรจน์,5,5,0,0,0,2,-3,5,0.0,0.0,40.0,60.0
270,พรรคการเมือง,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคชาติพัฒนา,"ชาติพัฒนา , ชพ.",5,5,0,0,0,4,-1,5,0.0,0.0,80.0,20.0
36,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ดอน ปรมัตถ์วินัย,ดอน,4,4,0,0,0,2,-2,4,0.0,0.0,50.0,50.0
45,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ดอน ปรมัตถ์วินัย,ดอน,4,4,0,0,0,2,-2,4,0.0,0.0,50.0,50.0
245,ส.ว. ชุดที่ 12,สายกลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,ดอน ปรมัตถ์วินัย,ดอน,4,4,0,0,0,2,-2,4,0.0,0.0,50.0,50.0
